,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
29348,34,unemployed,single,secondary,no,847,no,no,cellular,2,feb,684,2,-1,0,unknown,no
25800,32,management,single,tertiary,no,0,no,no,cellular,19,nov,57,1,-1,0,unknown,no
10399,43,housemaid,married,secondary,no,1476,no,no,unknown,12,jun,216,2,-1,0,unknown,no
37357,35,management,single,tertiary,no,1396,yes,no,cellular,13,may,809,1,300,1,failure,yes
14869,27,technician,married,tertiary,no,77,yes,no,cellular,16,jul,143,1,-1,0,unknown,no
13701,30,blue-collar,single,secondary,no,155,yes,yes,cellular,9,jul,1426,3,-1,0,unknown,yes
33809,31,technician,single,tertiary,no,1081,no,no,cellular,24,apr,202,5,261,2,failure,yes
23986,34,technician,divorced,secondary,no,347,no,no,cellular,29,aug,15,14,-1,0,unknown,no
40463,33,student,single,unknown,no,242,no,no,telephone,3,jul,320,2,-1,0,unknown,no
32481,35,services,married,secondary,no,44,yes,no,telephone,17,apr,377,2,-1,0,unknown,no
30876,49,blue-collar,married,primary,no,3103,no,no,cellular,9,feb,26,5,-1,0,unknown,no
41292,40,technician,married,secondary,no,3056,no,no,cellular,26,aug,103,1,-1,0,unknown,no
19075,40,management,married,secondary,no,1251,yes,no,cellular,5,aug,406,1,-1,0,unknown,no
15931,29,blue-collar,married,secondary,no,2,yes,no,cellular,22,jul,96,1,-1,0,unknown,no
28413,59,management,single,secondary,no,671,yes,yes,cellular,29,jan,219,2,259,5,failure,no
44115,32,technician,single,unknown,no,491,no,no,cellular,9,jul,474,7,-1,0,unknown,yes
1022,31,admin.,divorced,secondary,no,308,yes,no,unknown,7,may,194,1,-1,0,unknown,no
45130,33,technician,married,secondary,no,5083,no,no,cellular,27,oct,161,1,96,2,other,no
17945,41,management,married,tertiary,no,1715,no,yes,cellular,30,jul,695,2,-1,0,unknown,no
14366,49,services,married,primary,no,784,yes,no,cellular,14,jul,171,4,-1,0,unknown,no
33480,42,technician,married,secondary,no,334,yes,no,cellular,20,apr,18,5,335,9,other,no
3526,26,blue-collar,married,primary,no,500,yes,no,unknown,15,may,21,6,-1,0,unknown,no
12558,29,services,single,secondary,no,695,no,no,unknown,3,jul,97,1,-1,0,unknown,no
34858,34,blue-collar,married,primary,no,17946,yes,no,cellular,6,may,258,9,-1,0,unknown,no
35617,29,management,married,tertiary,no,202,yes,no,cellular,7,may,378,1,-1,0,unknown,no
33228,37,admin.,married,secondary,no,756,yes,no,cellular,20,apr,207,2,-1,0,unknown,no
21802,31,technician,married,secondary,no,0,no,no,cellular,20,aug,117,4,-1,0,unknown,no
35963,43,blue-collar,married,secondary,no,490,yes,no,cellular,8,may,216,2,368,2,failure,no
17798,40,housemaid,married,primary,no,224,yes,no,cellular,29,jul,138,3,-1,0,unknown,no
3649,41,management,single,tertiary,no,480,yes,no,unknown,15,may,178,2,-1,0,unknown,no
17826,58,housemaid,divorced,primary,no,3858,no,no,telephone,29,jul,53,6,-1,0,unknown,no
5538,36,management,single,tertiary,no,876,yes,no,unknown,23,may,241,2,-1,0,unknown,no
23107,51,services,married,primary,no,10150,yes,no,cellular,26,aug,157,5,-1,0,unknown,no
3000,41,services,married,primary,no,455,yes,no,unknown,14,may,80,1,-1,0,unknown,no
25206,35,management,married,tertiary,no,646,yes,no,cellular,18,nov,84,2,-1,0,unknown,no
39295,32,technician,married,secondary,no,580,yes,no,cellular,18,may,8,4,279,2,other,no
2587,52,technician,divorced,secondary,no,1161,yes,no,unknown,13,may,271,1,-1,0,unknown,no
29611,43,management,married,tertiary,no,5082,no,no,cellular,3,feb,99,3,-1,0,unknown,no
42894,63,housemaid,married,secondary,no,2,no,no,cellular,4,feb,45,2,93,1,success,no
4149,31,admin.,single,secondary,no,0,no,no,unknown,19,may,179,1,-1,0,unknown,no
34383,30,technician,married,secondary,no,2107,no,no,cellular,4,may,23,5,-1,0,unknown,no
42028,27,management,single,tertiary,no,390,no,no,cellular,28,oct,190,1,82,1,success,no
7232,30,services,married,secondary,no,699,yes,no,unknown,29,may,544,1,-1,0,unknown,no
44140,36,management,married,tertiary,no,93,no,no,cellular,12,jul,262,2,182,7,failure,yes
2535,53,retired,married,tertiary,no,1691,no,no,unknown,13,may,916,2,-1,0,unknown,no
44037,27,student,single,secondary,no,1423,no,no,unknown,29,jun,8,1,-1,0,unknown,no
38464,32,management,married,secondary,no,134,yes,yes,cellular,15,may,532,3,-1,0,unknown,yes
18774,60,retired,married,secondary,no,0,no,no,telephone,31,jul,576,20,-1,0,unknown,no
33911,29,management,single,tertiary,no,697,no,no,cellular,30,apr,365,1,85,1,success,yes
1344,50,technician,married,secondary,no,389,yes,no,unknown,8,may,110,1,-1,0,unknown,no
21065,45,admin.,married,secondary,no,0,no,no,cellular,14,aug,113,2,-1,0,unknown,no
34763,34,admin.,single,tertiary,no,18,yes,no,cellular,6,may,285,1,288,17,other,no
14684,39,management,divorced,tertiary,no,5009,yes,no,cellular,15,jul,1083,2,-1,0,unknown,no
16205,26,management,married,secondary,no,288,yes,no,cellular,22,jul,714,1,-1,0,unknown,no
29006,32,admin.,divorced,secondary,no,714,no,no,cellular,2,feb,221,1,-1,0,unknown,no
9126,39,blue-collar,married,secondary,no,3231,yes,yes,unknown,5,jun,164,2,-1,0,unknown,no
11537,54,housemaid,married,primary,no,774,no,no,unknown,19,jun,290,1,-1,0,unknown,no
8119,32,technician,single,tertiary,no,257,yes,no,unknown,2,jun,183,5,-1,0,unknown,no
39866,40,unemployed,single,tertiary,no,7968,no,no,cellular,2,jun,596,1,-1,0,unknown,yes
13739,31,blue-collar,married,secondary,no,2,yes,no,cellular,10,jul,371,1,-1,0,unknown,no
8099,31,blue-collar,single,secondary,no,334,yes,yes,unknown,2,jun,425,2,-1,0,unknown,no
5671,42,technician,divorced,secondary,no,-280,yes,no,unknown,26,may,258,1,-1,0,unknown,no
36782,35,technician,divorced,secondary,no,0,yes,no,cellular,12,may,183,6,-1,0,unknown,no
9250,44,unemployed,married,primary,no,280,yes,no,unknown,5,jun,193,2,-1,0,unknown,no
12246,45,self-employed,single,primary,no,112,no,no,unknown,20,jun,298,4,-1,0,unknown,no
20163,39,technician,married,tertiary,no,-276,no,yes,cellular,11,aug,121,4,-1,0,unknown,no
41889,30,admin.,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no
16132,42,technician,married,secondary,no,33,no,no,telephone,22,jul,158,5,-1,0,unknown,no
34432,35,technician,single,tertiary,no,174,yes,no,cellular,5,may,105,1,-1,0,unknown,no
37980,35,blue-collar,married,secondary,no,1287,yes,no,cellular,14,may,251,3,-1,0,unknown,no
20343,30,management,married,tertiary,no,1882,yes,no,cellular,11,aug,249,5,-1,0,unknown,no
33905,28,management,single,tertiary,no,320,yes,no,cellular,30,apr,239,1,-1,0,unknown,no
25786,36,management,single,secondary,no,0,no,no,cellular,19,nov,537,3,-1,0,unknown,no
19995,32,admin.,single,tertiary,no,298,no,no,cellular,8,aug,494,1,-1,0,unknown,no
17335,29,services,single,secondary,no,553,no,yes,cellular,28,jul,60,5,-1,0,unknown,no
27858,60,retired,married,primary,no,1216,no,no,cellular,28,jan,156,1,-1,0,unknown,no
32499,41,technician,married,secondary,no,442,yes,yes,cellular,17,apr,261,3,322,1,other,no
13211,60,retired,divorced,secondary,no,598,no,yes,cellular,8,jul,96,1,-1,0,unknown,no
17238,28,technician,single,secondary,no,181,yes,no,cellular,28,jul,139,3,-1,0,unknown,no
7547,50,entrepreneur,married,primary,no,237,yes,yes,unknown,30,may,184,4,-1,0,unknown,no
27791,57,services,divorced,primary,no,362,no,no,cellular,28,jan,91,1,231,1,failure,no
24288,44,admin.,divorced,secondary,no,0,no,no,cellular,17,nov,57,1,-1,0,unknown,no
33409,25,student,single,tertiary,no,538,yes,no,cellular,20,apr,226,1,-1,0,unknown,no
33021,30,blue-collar,single,secondary,no,1012,yes,no,cellular,17,apr,22,3,329,1,failure,no
40063,29,management,single,tertiary,no,572,no,no,cellular,4,jun,224,1,-1,0,unknown,yes
14761,36,management,married,tertiary,no,446,yes,no,telephone,16,jul,174,5,-1,0,unknown,no
29332,28,technician,single,tertiary,no,172,yes,yes,cellular,2,feb,194,2,-1,0,unknown,no
37179,27,student,single,secondary,no,268,yes,no,cellular,13,may,528,1,358,2,failure,no
18337,37,blue-collar,married,primary,no,153,no,yes,cellular,31,jul,15,26,-1,0,unknown,no
19143,44,management,single,secondary,no,421,no,yes,cellular,5,aug,307,1,-1,0,unknown,no
40153,35,management,single,tertiary,no,471,no,no,cellular,5,jun,276,2,-1,0,unknown,yes
2882,40,admin.,married,secondary,no,1535,yes,no,unknown,14,may,704,1,-1,0,unknown,yes
9581,47,admin.,divorced,secondary,no,295,yes,no,unknown,6,jun,94,2,-1,0,unknown,yes
42331,57,housemaid,divorced,primary,no,8278,no,no,cellular,17,nov,408,3,-1,0,unknown,no
1752,46,technician,divorced,secondary,no,164,yes,no,unknown,9,may,229,2,-1,0,unknown,no
6346,56,retired,divorced,primary,no,-154,yes,no,unknown,27,may,127,1,-1,0,unknown,no
34653,45,admin.,married,secondary,no,251,yes,no,cellular,5,may,304,2,259,2,failure,no
40213,31,technician,single,secondary,no,816,no,no,cellular,9,jun,100,2,-1,0,unknown,no
784,57,technician,married,unknown,no,1617,yes,no,unknown,7,may,96,2,-1,0,unknown,no
9998,46,services,married,tertiary,no,474,no,no,unknown,9,jun,445,2,-1,0,unknown,no
18580,55,services,divorced,secondary,no,-555,yes,no,cellular,31,jul,81,3,-1,0,unknown,no
18133,35,blue-collar,married,secondary,no,3188,yes,no,cellular,30,jul,288,3,-1,0,unknown,no
9671,36,self-employed,married,secondary,no,1245,yes,no,unknown,6,jun,1469,9,-1,0,unknown,yes
11450,57,admin.,single,secondary,no,5768,yes,no,unknown,19,jun,512,1,-1,0,unknown,yes
6602,31,admin.,divorced,secondary,no,82,no,no,unknown,28,may,254,1,-1,0,unknown,no
16983,46,technician,married,secondary,no,-220,yes,no,cellular,25,jul,203,1,-1,0,unknown,no
873,35,blue-collar,single,primary,no,109,yes,no,unknown,7,may,83,2,-1,0,unknown,no
919,37,unemployed,divorced,secondary,no,74,yes,no,unknown,7,may,150,1,-1,0,unknown,no
30646,33,management,married,tertiary,no,23,yes,yes,cellular,6,feb,150,1,-1,0,unknown,no
22222,39,management,married,tertiary,no,1981,no,no,cellular,21,aug,1026,4,-1,0,unknown,no
31037,54,management,divorced,tertiary,no,26306,yes,no,cellular,11,feb,27,1,84,3,failure,no
25066,30,unemployed,married,tertiary,no,0,yes,no,cellular,18,nov,756,1,-1,0,unknown,no
41108,34,technician,single,secondary,no,1227,no,no,telephone,17,aug,122,1,109,1,other,no
24412,40,technician,married,secondary,no,0,yes,no,cellular,17,nov,74,2,196,1,failure,no
35501,46,entrepreneur,married,tertiary,no,193,yes,no,cellular,7,may,201,8,-1,0,unknown,no
33097,32,blue-collar,married,secondary,no,112,yes,no,cellular,20,apr,311,1,321,1,other,no
9008,52,unknown,married,primary,no,8251,no,no,unknown,5,jun,397,1,-1,0,unknown,no
32988,54,management,married,primary,no,630,yes,no,cellular,17,apr,99,2,-1,0,unknown,no
40513,58,retired,married,primary,no,565,no,no,telephone,7,jul,876,1,-1,0,unknown,yes
38328,32,services,single,secondary,no,1987,yes,no,telephone,15,may,36,2,176,2,failure,no
19974,47,services,married,unknown,no,11,no,no,cellular,8,aug,455,4,-1,0,unknown,no
455,44,blue-collar,married,secondary,no,274,yes,yes,unknown,6,may,409,1,-1,0,unknown,no
39885,60,housemaid,married,secondary,no,283,no,no,cellular,2,jun,138,1,-1,0,unknown,no
35857,43,services,divorced,secondary,no,313,yes,no,cellular,8,may,155,2,-1,0,unknown,no
37380,44,management,divorced,tertiary,no,388,yes,no,telephone,13,may,246,2,370,2,success,no
42660,50,management,married,tertiary,no,78,yes,no,cellular,14,jan,218,3,161,9,other,no
29491,56,blue-collar,married,primary,no,151,no,no,cellular,3,feb,128,1,-1,0,unknown,no
17719,33,blue-collar,married,secondary,no,-211,yes,no,cellular,29,jul,96,5,-1,0,unknown,no
23534,32,management,married,tertiary,no,0,no,no,cellular,28,aug,74,2,-1,0,unknown,no
7503,31,blue-collar,single,primary,no,-502,yes,no,unknown,29,may,76,4,-1,0,unknown,no
16523,38,entrepreneur,married,tertiary,no,0,no,no,cellular,23,jul,532,2,-1,0,unknown,yes
27965,58,unemployed,married,tertiary,no,744,no,no,telephone,28,jan,38,1,-1,0,unknown,no
38077,32,technician,married,secondary,no,344,yes,yes,cellular,14,may,54,11,-1,0,unknown,no
5652,50,technician,married,tertiary,no,199,yes,yes,unknown,26,may,79,1,-1,0,unknown,no
23916,49,technician,married,secondary,no,10,no,no,cellular,29,aug,135,2,-1,0,unknown,no
27520,34,entrepreneur,single,tertiary,no,714,yes,no,cellular,21,nov,122,3,193,4,failure,no
39546,32,services,single,secondary,no,995,yes,no,cellular,26,may,119,1,-1,0,unknown,no
11829,52,blue-collar,married,secondary,no,1500,no,yes,unknown,20,jun,109,3,-1,0,unknown,no
34428,47,management,single,secondary,no,-246,yes,no,cellular,5,may,145,1,365,2,failure,no
8978,46,services,married,secondary,no,198,no,yes,unknown,5,jun,49,1,-1,0,unknown,no
1832,40,blue-collar,married,secondary,no,10,yes,no,unknown,9,may,1692,2,-1,0,unknown,yes
42735,45,admin.,married,secondary,no,2556,no,no,telephone,26,jan,196,2,-1,0,unknown,no
38168,28,technician,single,tertiary,no,558,yes,no,cellular,15,may,300,1,-1,0,unknown,no
25542,32,entrepreneur,married,tertiary,no,964,yes,no,cellular,19,nov,130,1,120,2,failure,no
13719,37,entrepreneur,married,secondary,no,2055,yes,yes,cellular,10,jul,241,4,-1,0,unknown,no
32095,31,management,single,tertiary,no,2384,yes,no,cellular,14,apr,608,2,-1,0,unknown,no
15959,37,admin.,married,secondary,no,0,yes,no,cellular,22,jul,185,1,-1,0,unknown,no
28276,32,admin.,single,secondary,no,566,yes,no,cellular,29,jan,61,1,-1,0,unknown,no
40520,55,admin.,married,secondary,no,865,yes,no,cellular,8,jul,105,1,82,2,failure,no
32397,42,services,married,secondary,no,1027,yes,no,telephone,16,apr,63,2,150,4,failure,no
37489,45,admin.,married,secondary,no,358,yes,no,cellular,13,may,134,2,-1,0,unknown,no
43445,51,entrepreneur,divorced,tertiary,no,2109,no,no,cellular,12,apr,119,1,181,2,success,no
22130,32,housemaid,single,tertiary,no,4,yes,no,cellular,21,aug,776,2,-1,0,unknown,no
6328,36,management,married,tertiary,no,-825,no,no,unknown,27,may,95,1,-1,0,unknown,no
16911,27,technician,single,secondary,no,3485,no,yes,cellular,25,jul,282,2,-1,0,unknown,no
8708,33,management,married,tertiary,no,982,no,no,unknown,4,jun,735,17,-1,0,unknown,no
26713,54,management,married,tertiary,no,1502,no,no,cellular,20,nov,43,3,-1,0,unknown,no
12014,39,entrepreneur,married,tertiary,no,3,no,no,unknown,20,jun,12,14,-1,0,unknown,no
8427,50,management,married,tertiary,no,1854,yes,yes,unknown,3,jun,119,2,-1,0,unknown,no
32118,28,technician,single,tertiary,no,0,yes,no,cellular,15,apr,217,2,-1,0,unknown,no
39855,48,blue-collar,married,secondary,no,238,yes,yes,cellular,2,jun,118,2,81,1,success,no
35733,36,blue-collar,married,secondary,no,74,yes,no,cellular,8,may,168,2,-1,0,unknown,no
31918,39,management,married,tertiary,no,399,no,no,cellular,9,apr,504,1,-1,0,unknown,no
39147,57,blue-collar,married,secondary,no,2058,yes,no,telephone,18,may,23,2,-1,0,unknown,no
29281,31,management,married,tertiary,no,4015,yes,no,cellular,2,feb,95,2,241,3,other,no
2531,34,management,married,tertiary,no,402,yes,no,unknown,13,may,813,2,-1,0,unknown,no
6148,31,blue-collar,married,secondary,no,557,yes,yes,unknown,27,may,185,1,-1,0,unknown,no
34223,25,services,single,secondary,no,642,yes,yes,cellular,4,may,364,2,-1,0,unknown,no
33864,34,management,single,tertiary,no,612,no,no,cellular,30,apr,192,1,-1,0,unknown,no
1373,48,blue-collar,married,primary,no,448,yes,no,unknown,8,may,189,1,-1,0,unknown,no
7645,54,technician,divorced,secondary,no,814,yes,no,unknown,30,may,95,1,-1,0,unknown,no
26530,57,management,married,tertiary,no,1172,yes,no,cellular,20,nov,72,1,-1,0,unknown,no
4482,39,entrepreneur,married,tertiary,no,2644,yes,no,unknown,20,may,253,1,-1,0,unknown,no
23847,39,housemaid,divorced,primary,no,239,no,no,cellular,29,aug,204,2,-1,0,unknown,no
31324,70,retired,married,unknown,no,1236,no,no,cellular,12,mar,58,4,-1,0,unknown,no
29804,53,self-employed,single,unknown,no,289,no,no,cellular,4,feb,502,1,-1,0,unknown,no
33424,30,blue-collar,married,primary,no,262,yes,no,cellular,20,apr,15,4,343,3,other,no
27197,57,services,married,secondary,no,8266,yes,no,telephone,21,nov,162,1,-1,0,unknown,no
17143,27,management,married,tertiary,no,9630,yes,no,cellular,25,jul,190,4,-1,0,unknown,no
33407,46,self-employed,married,secondary,no,156,no,no,cellular,20,apr,268,1,-1,0,unknown,no
19017,41,management,married,tertiary,no,1391,no,no,cellular,5,aug,537,1,-1,0,unknown,no
40420,41,services,married,secondary,no,366,yes,yes,cellular,2,jul,237,2,-1,0,unknown,no
3350,34,blue-collar,married,secondary,no,298,yes,no,unknown,15,may,182,1,-1,0,unknown,no
41002,27,admin.,single,secondary,no,4590,yes,no,cellular,13,aug,75,1,442,2,failure,no
32666,34,admin.,married,secondary,no,747,yes,yes,cellular,17,apr,248,2,-1,0,unknown,no
30869,34,admin.,single,secondary,no,1,yes,no,cellular,9,feb,185,7,280,1,other,no
5257,34,services,single,secondary,no,1239,yes,no,unknown,23,may,164,1,-1,0,unknown,no
39415,39,management,single,tertiary,no,307,no,no,cellular,22,may,182,2,-1,0,unknown,yes
7494,30,blue-collar,single,secondary,no,196,yes,no,unknown,29,may,91,7,-1,0,unknown,no
30138,28,admin.,single,secondary,no,392,yes,yes,cellular,4,feb,214,2,259,2,failure,no
20495,55,management,divorced,tertiary,no,277,no,no,cellular,12,aug,101,3,-1,0,unknown,no
45065,30,management,single,tertiary,no,2344,yes,no,cellular,20,oct,316,2,92,3,failure,no
28358,59,unknown,married,tertiary,no,499,no,no,cellular,29,jan,966,1,-1,0,unknown,no
5122,33,technician,single,tertiary,no,8874,no,yes,unknown,21,may,152,3,-1,0,unknown,no
1810,55,blue-collar,married,primary,no,1373,no,no,unknown,9,may,1087,2,-1,0,unknown,no
5081,26,services,single,secondary,no,186,yes,no,unknown,21,may,72,3,-1,0,unknown,no
11064,57,blue-collar,married,primary,no,4073,no,no,unknown,17,jun,193,3,-1,0,unknown,no
42126,48,management,married,secondary,no,0,yes,yes,cellular,3,nov,1233,1,351,2,failure,yes
12428,38,blue-collar,single,primary,no,116,no,yes,unknown,30,jun,203,1,-1,0,unknown,no
33960,34,services,married,secondary,no,1337,no,no,cellular,30,apr,442,1,-1,0,unknown,yes
9990,57,blue-collar,married,primary,no,831,no,no,unknown,9,jun,166,3,-1,0,unknown,no
11337,36,blue-collar,married,primary,no,946,yes,no,unknown,18,jun,255,3,-1,0,unknown,no
43893,80,retired,married,secondary,no,8304,no,no,telephone,9,jun,712,1,64,12,failure,yes
33258,25,blue-collar,single,primary,no,147,yes,no,cellular,20,apr,59,2,322,2,failure,no
33516,36,management,married,tertiary,no,340,yes,no,cellular,20,apr,68,2,-1,0,unknown,no
27870,31,technician,married,secondary,no,0,yes,yes,cellular,28,jan,71,1,223,9,other,no
43021,52,management,married,tertiary,no,4675,no,no,cellular,12,feb,181,3,-1,0,unknown,yes
29578,36,blue-collar,divorced,primary,no,102,no,no,cellular,3,feb,306,2,-1,0,unknown,no
42424,39,management,married,tertiary,no,481,no,no,cellular,7,dec,929,5,189,1,other,yes
20326,32,technician,single,tertiary,no,1100,yes,yes,cellular,11,aug,67,1,-1,0,unknown,no
11660,38,blue-collar,single,secondary,no,3054,no,no,unknown,20,jun,24,11,-1,0,unknown,no
44264,42,technician,single,secondary,no,631,no,no,telephone,22,jul,171,2,413,3,failure,no
45008,26,technician,single,secondary,no,342,no,no,cellular,14,oct,133,2,-1,0,unknown,no
15944,25,entrepreneur,married,tertiary,no,38,yes,no,cellular,22,jul,278,5,-1,0,unknown,no
26655,43,management,married,tertiary,no,28,yes,no,cellular,20,nov,73,1,-1,0,unknown,no
23654,39,technician,married,tertiary,no,0,no,no,cellular,28,aug,13,17,-1,0,unknown,no
42487,35,management,married,tertiary,no,3402,no,no,cellular,14,dec,269,1,194,2,failure,no
27971,33,management,single,tertiary,no,726,no,no,cellular,28,jan,219,1,-1,0,unknown,no
29689,41,management,divorced,tertiary,no,-78,yes,no,cellular,3,feb,69,4,252,4,failure,no
41782,61,self-employed,divorced,tertiary,no,6,yes,no,cellular,13,oct,210,1,182,2,success,yes
13555,56,blue-collar,married,primary,yes,-160,no,no,cellular,9,jul,96,2,-1,0,unknown,no
13689,39,blue-collar,married,primary,no,1742,no,no,unknown,9,jul,130,6,-1,0,unknown,no
12095,28,management,single,secondary,no,311,yes,no,unknown,20,jun,23,13,-1,0,unknown,no
10093,37,management,married,primary,no,1959,no,no,unknown,11,jun,439,1,-1,0,unknown,no
6153,32,technician,single,secondary,no,535,yes,yes,unknown,27,may,156,2,-1,0,unknown,no
22161,41,housemaid,married,primary,no,39,no,no,cellular,21,aug,299,4,-1,0,unknown,no
15755,56,services,married,primary,no,486,no,yes,telephone,21,jul,1877,1,-1,0,unknown,yes
7940,50,blue-collar,married,secondary,no,2641,yes,no,unknown,30,may,97,3,-1,0,unknown,no
44524,35,admin.,married,secondary,no,2374,yes,no,cellular,11,aug,765,2,183,5,success,yes
20798,31,management,single,tertiary,no,363,no,no,cellular,13,aug,94,2,-1,0,unknown,no
39359,38,services,divorced,secondary,no,710,yes,no,cellular,18,may,1880,2,-1,0,unknown,no
12059,44,technician,married,secondary,no,5597,no,no,unknown,20,jun,27,3,-1,0,unknown,no
12735,59,management,married,tertiary,no,553,yes,no,cellular,7,jul,1272,3,-1,0,unknown,yes
17933,42,blue-collar,married,secondary,no,-269,yes,no,telephone,30,jul,100,6,-1,0,unknown,no
2471,59,retired,married,secondary,no,2376,no,no,unknown,13,may,766,1,-1,0,unknown,no
28562,34,admin.,single,tertiary,no,2045,no,no,cellular,29,jan,146,2,-1,0,unknown,no
11584,51,management,divorced,secondary,no,2843,yes,no,unknown,19,jun,97,2,-1,0,unknown,no
44541,28,management,single,tertiary,no,-62,no,no,unknown,12,aug,17,1,-1,0,unknown,no
44335,36,services,married,secondary,no,11650,yes,no,telephone,29,jul,268,1,-1,0,unknown,yes
5778,31,management,married,tertiary,no,2229,yes,no,unknown,26,may,90,4,-1,0,unknown,no
2271,38,blue-collar,married,secondary,no,332,yes,no,unknown,12,may,184,4,-1,0,unknown,no
525,43,blue-collar,married,secondary,no,1335,yes,no,unknown,6,may,371,2,-1,0,unknown,no
42357,31,management,single,tertiary,no,9421,no,no,cellular,25,nov,372,1,-1,0,unknown,yes
22556,59,retired,married,primary,no,0,no,no,cellular,22,aug,347,1,-1,0,unknown,no
20652,48,blue-collar,married,primary,no,3020,no,no,cellular,12,aug,645,3,-1,0,unknown,no
44669,88,retired,married,primary,no,648,no,no,telephone,3,sep,318,1,-1,0,unknown,no
43571,66,retired,married,primary,no,1004,no,no,cellular,28,apr,154,1,182,1,success,no
26597,33,self-employed,single,tertiary,no,1354,yes,no,cellular,20,nov,130,2,-1,0,unknown,no
3466,46,entrepreneur,married,unknown,no,676,yes,yes,unknown,15,may,106,3,-1,0,unknown,no
26899,38,blue-collar,single,secondary,no,5133,yes,no,cellular,21,nov,87,2,168,2,other,no
8331,43,blue-collar,married,secondary,no,4309,yes,no,unknown,2,jun,43,15,-1,0,unknown,no
16694,35,unemployed,married,primary,no,3,no,no,cellular,24,jul,90,1,-1,0,unknown,no
11277,45,retired,married,primary,no,1152,no,no,unknown,18,jun,234,2,-1,0,unknown,no
14600,53,blue-collar,married,primary,no,4143,no,no,cellular,15,jul,200,3,-1,0,unknown,no
27853,44,blue-collar,married,primary,no,8,no,no,cellular,28,jan,531,1,-1,0,unknown,no
41254,42,admin.,married,secondary,no,16517,no,no,cellular,24,aug,497,2,279,2,failure,no
30396,56,blue-collar,married,secondary,no,121,no,no,cellular,5,feb,151,1,-1,0,unknown,no
1129,29,services,married,primary,no,321,yes,no,unknown,7,may,196,2,-1,0,unknown,no
14562,25,services,single,secondary,no,333,no,yes,cellular,15,jul,1056,2,-1,0,unknown,yes
34029,35,technician,married,secondary,no,518,yes,no,cellular,30,apr,616,1,-1,0,unknown,yes
31004,25,management,married,tertiary,no,103,no,no,cellular,10,feb,52,9,-1,0,unknown,no
24098,38,management,married,tertiary,no,385,yes,no,telephone,28,oct,154,1,-1,0,unknown,yes
34389,29,management,single,secondary,no,3317,no,yes,telephone,4,may,640,7,-1,0,unknown,yes
42262,64,retired,married,secondary,no,2031,no,no,cellular,13,nov,202,5,-1,0,unknown,no
1860,37,technician,married,tertiary,no,447,yes,no,unknown,9,may,1170,1,-1,0,unknown,no
33685,38,management,single,tertiary,no,8669,yes,no,telephone,20,apr,5,3,150,6,failure,no
16744,58,services,married,secondary,no,5567,no,no,cellular,24,jul,1869,1,-1,0,unknown,no
40379,58,admin.,married,secondary,no,4348,yes,no,cellular,23,jun,790,4,141,1,other,yes
21810,41,management,married,tertiary,no,5561,no,no,cellular,20,aug,649,2,-1,0,unknown,yes
8067,29,technician,married,secondary,no,493,yes,yes,unknown,2,jun,132,6,-1,0,unknown,no
3046,47,services,divorced,secondary,no,430,yes,yes,unknown,14,may,335,1,-1,0,unknown,no
134,28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no
30238,30,management,married,tertiary,no,1251,no,no,cellular,5,feb,11,5,-1,0,unknown,no
12772,44,services,married,secondary,no,182,yes,yes,cellular,7,jul,209,4,-1,0,unknown,no
32660,22,blue-collar,single,secondary,no,-7,yes,no,cellular,17,apr,84,1,343,1,other,no
23977,48,blue-collar,married,secondary,no,1903,no,no,cellular,29,aug,21,6,-1,0,unknown,no
28088,29,services,married,secondary,no,317,no,no,cellular,28,jan,229,2,-1,0,unknown,no
3035,43,technician,married,secondary,no,672,yes,no,unknown,14,may,267,8,-1,0,unknown,no
35649,41,blue-collar,married,secondary,no,2039,yes,no,cellular,8,may,729,1,-1,0,unknown,yes
2041,57,management,divorced,secondary,no,0,yes,yes,unknown,12,may,144,6,-1,0,unknown,no
3708,31,self-employed,single,tertiary,no,144,yes,no,unknown,16,may,676,1,-1,0,unknown,yes
29742,59,unemployed,single,secondary,no,865,no,no,cellular,4,feb,1086,1,-1,0,unknown,no
39103,35,management,divorced,unknown,no,1043,yes,yes,cellular,18,may,230,1,-1,0,unknown,no
27944,57,retired,divorced,secondary,no,316,no,no,cellular,28,jan,935,2,-1,0,unknown,no
31620,36,blue-collar,married,secondary,no,382,yes,no,cellular,6,apr,254,1,-1,0,unknown,no
9870,37,blue-collar,single,primary,no,5473,no,yes,unknown,9,jun,198,2,-1,0,unknown,no
6223,36,blue-collar,married,primary,no,244,yes,no,unknown,27,may,70,2,-1,0,unknown,no
40839,42,admin.,married,secondary,no,437,yes,no,cellular,11,aug,120,3,190,1,failure,no
8555,43,technician,single,tertiary,no,27733,yes,no,unknown,3,jun,164,7,-1,0,unknown,no
43123,48,housemaid,married,tertiary,no,5473,no,no,cellular,24,feb,127,2,184,2,success,yes
16467,51,admin.,married,tertiary,no,1463,yes,no,telephone,23,jul,185,1,-1,0,unknown,no
1960,34,blue-collar,married,secondary,no,2137,no,no,unknown,9,may,245,4,-1,0,unknown,no
16341,30,blue-collar,single,secondary,no,163,yes,yes,cellular,23,jul,123,2,-1,0,unknown,no
